Meldedatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2020/01/07 00:00:00+00,1,0,1
2020/01/19 00:00:00+00,1,0,1
2020/01/23 00:00:00+00,1,0,1
2020/01/25 00:00:00+00,1,0,1
2020/01/28 00:00:00+00,2,0,2
2020/01/29 00:00:00+00,2,0,2
2020/01/31 00:00:00+00,5,0,5
2020/02/03 00:00:00+00,1,0,1
2020/02/04 00:00:00+00,4,0,4
2020/02/06 00:00:00+00,1,0,1
2020/02/07 00:00:00+00,1,0,1
2020/02/11 00:00:00+00,2,0,2
2020/02/12 00:00:00+00,2,0,2
2020/02/17 00:00:00+00,1,0,1
2020/02/18 00:00:00+00,1,0,1
2020/02/20 00:00:00+00,3,1,2
2020/02/24 00:00:00+00,1,0,1
2020/02/25 00:00:00+00,3,0,3
2020/02/26 00:00:00+00,7,0,7
2020/02/27 00:00:00+00,24,0,24
2020/02/28 00:00:00+00,48,0,48
2020/02/29 00:00:00+00,22,0,22
2020/03/01 00:00:00+00,36,0,36
2020/03/02 00:00:00+00,40,0,40
2020/03/03 00:00:00+00,85,0,85
2020/03/04 00:00:00+00,156,2,154
2020/03/05 00:00:00+00,186,1,185
2020/03/06 00:00:00+00,186,4,182
2020/03/07 00:00:00+00,142,4,138
2020/03/08 00:00:00+00,102,1,101
2020/03/09 00:00:00+00,345,7,338
2020/03/10 00:00:00+00,599,4,595
2020/03/11 00:00:00+00,757,10,747
2020/03/12 00:00:00+00,992,13,979
2020/03/13 00:00:00+00,1456,16,1440
2020/03/14 00:00:00+00,1304,20,1284
2020/03/15 00:00:00+00,979,15,964
2020/03/16 00:00:00+00,2043,35,2008
2020/03/17 00:00:00+00,3038,45,2993
2020/03/18 00:00:00+00,3615,64,3551
2020/03/19 00:00:00+00,4062,66,3996
2020/03/20 00:00:00+00,4057,95,3962
2020/03/21 00:00:00+00,3362,95,3267
2020/03/22 00:00:00+00,2266,78,2188
2020/03/23 00:00:00+00,3730,132,3597
2020/03/24 00:00:00+00,4881,168,4713
2020/03/25 00:00:00+00,5680,217,5462
2020/03/26 00:00:00+00,5905,266,5639
2020/03/27 00:00:00+00,5982,267,5715
2020/03/28 00:00:00+00,4726,249,4477
2020/03/29 00:00:00+00,3081,166,2915
2020/03/30 00:00:00+00,4118,266,3852
2020/03/31 00:00:00+00,6060,378,5682
2020/04/01 00:00:00+00,6260,380,5880
2020/04/02 00:00:00+00,6551,415,6136
2020/04/03 00:00:00+00,6183,395,5788
2020/04/04 00:00:00+00,4345,244,4101
2020/04/05 00:00:00+00,2547,182,2365
2020/04/06 00:00:00+00,3669,293,3376
2020/04/07 00:00:00+00,5199,340,4859
2020/04/08 00:00:00+00,5282,342,4940
2020/04/09 00:00:00+00,4909,326,4583
2020/04/10 00:00:00+00,3360,208,3152
2020/04/11 00:00:00+00,2887,202,2685
2020/04/12 00:00:00+00,1865,168,1697
2020/04/13 00:00:00+00,1600,163,1437
2020/04/14 00:00:00+00,2466,219,2247
2020/04/15 00:00:00+00,3326,229,3097
2020/04/16 00:00:00+00,3416,190,3226
2020/04/17 00:00:00+00,3050,175,2875
2020/04/18 00:00:00+00,2110,122,1988
2020/04/19 00:00:00+00,1377,119,1258
2020/04/20 00:00:00+00,1720,147,1573
2020/04/21 00:00:00+00,2185,136,2049
2020/04/22 00:00:00+00,2491,128,2363
2020/04/23 00:00:00+00,2090,117,1973
2020/04/24 00:00:00+00,1905,84,1821
2020/04/25 00:00:00+00,1273,80,1193
2020/04/26 00:00:00+00,703,30,673
2020/04/27 00:00:00+00,1115,76,1039
2020/04/28 00:00:00+00,1470,82,1388
2020/04/29 00:00:00+00,1432,59,1373
2020/04/30 00:00:00+00,1459,71,1387
2020/05/01 00:00:00+00,917,48,869
2020/05/02 00:00:00+00,620,34,586
2020/05/03 00:00:00+00,424,16,408
2020/05/04 00:00:00+00,728,40,688
2020/05/05 00:00:00+00,1093,45,1048
2020/05/06 00:00:00+00,1222,41,1181
2020/05/07 00:00:00+00,1198,49,1149
2020/05/08 00:00:00+00,980,45,935
2020/05/09 00:00:00+00,678,23,655
2020/05/10 00:00:00+00,341,14,327
2020/05/11 00:00:00+00,688,25,663
2020/05/12 00:00:00+00,853,32,821
2020/05/13 00:00:00+00,912,27,885
2020/05/14 00:00:00+00,810,20,790
2020/05/15 00:00:00+00,729,32,697
2020/05/16 00:00:00+00,460,20,440
2020/05/17 00:00:00+00,316,8,308
2020/05/18 00:00:00+00,542,23,519
2020/05/19 00:00:00+00,731,27,704
2020/05/20 00:00:00+00,832,24,808
2020/05/21 00:00:00+00,417,7,410
2020/05/22 00:00:00+00,528,16,512
2020/05/23 00:00:00+00,338,11,327
