Refdatum,AnzahlFall,AnzahlTodesfall,AnzahlGenesen
2020/01/01 00:00:00+00,19,0,19
2020/01/02 00:00:00+00,18,0,18
2020/01/03 00:00:00+00,19,1,18
2020/01/04 00:00:00+00,18,1,17
2020/01/05 00:00:00+00,20,0,20
2020/01/06 00:00:00+00,10,0,10
2020/01/07 00:00:00+00,13,0,13
2020/01/08 00:00:00+00,10,0,10
2020/01/09 00:00:00+00,6,0,6
2020/01/10 00:00:00+00,2,0,2
2020/01/11 00:00:00+00,6,0,6
2020/01/12 00:00:00+00,6,0,6
2020/01/13 00:00:00+00,9,0,9
2020/01/14 00:00:00+00,4,0,4
2020/01/15 00:00:00+00,5,0,5
2020/01/16 00:00:00+00,2,0,2
2020/01/17 00:00:00+00,7,1,6
2020/01/18 00:00:00+00,7,1,6
2020/01/19 00:00:00+00,5,0,5
2020/01/20 00:00:00+00,4,0,4
2020/01/21 00:00:00+00,1,0,1
2020/01/22 00:00:00+00,4,0,4
2020/01/23 00:00:00+00,3,0,3
2020/01/24 00:00:00+00,5,1,4
2020/01/25 00:00:00+00,4,0,4
2020/01/26 00:00:00+00,4,0,4
2020/01/27 00:00:00+00,7,0,7
2020/01/28 00:00:00+00,4,0,4
2020/01/29 00:00:00+00,10,0,10
2020/01/30 00:00:00+00,9,0,9
2020/01/31 00:00:00+00,13,0,13
2020/02/01 00:00:00+00,6,0,6
2020/02/02 00:00:00+00,10,0,10
2020/02/03 00:00:00+00,5,1,4
2020/02/04 00:00:00+00,4,0,4
2020/02/05 00:00:00+00,4,1,3
2020/02/06 00:00:00+00,1,0,1
2020/02/07 00:00:00+00,5,0,5
2020/02/08 00:00:00+00,1,0,1
2020/02/09 00:00:00+00,6,0,6
2020/02/10 00:00:00+00,12,0,12
2020/02/11 00:00:00+00,9,0,9
2020/02/12 00:00:00+00,4,0,4
2020/02/13 00:00:00+00,5,0,5
2020/02/14 00:00:00+00,7,1,6
2020/02/15 00:00:00+00,16,0,16
2020/02/16 00:00:00+00,12,0,12
2020/02/17 00:00:00+00,11,0,11
2020/02/18 00:00:00+00,15,1,14
2020/02/19 00:00:00+00,13,1,12
2020/02/20 00:00:00+00,30,2,28
2020/02/21 00:00:00+00,18,0,18
2020/02/22 00:00:00+00,26,0,26
2020/02/23 00:00:00+00,44,1,43
2020/02/24 00:00:00+00,69,0,69
2020/02/25 00:00:00+00,108,2,106
2020/02/26 00:00:00+00,159,8,151
2020/02/27 00:00:00+00,160,2,158
2020/02/28 00:00:00+00,218,4,214
2020/02/29 00:00:00+00,192,2,190
2020/03/01 00:00:00+00,232,4,228
2020/03/02 00:00:00+00,295,9,286
2020/03/03 00:00:00+00,305,11,294
2020/03/04 00:00:00+00,412,10,402
2020/03/05 00:00:00+00,454,9,445
2020/03/06 00:00:00+00,678,20,658
2020/03/07 00:00:00+00,817,22,795
2020/03/08 00:00:00+00,1099,22,1077
2020/03/09 00:00:00+00,1766,26,1740
2020/03/10 00:00:00+00,2253,35,2218
2020/03/11 00:00:00+00,2822,48,2774
2020/03/12 00:00:00+00,3153,60,3093
2020/03/13 00:00:00+00,3905,78,3827
2020/03/14 00:00:00+00,3885,61,3824
2020/03/15 00:00:00+00,4044,99,3945
2020/03/16 00:00:00+00,5477,136,5341
2020/03/17 00:00:00+00,4932,127,4805
2020/03/18 00:00:00+00,5141,145,4996
2020/03/19 00:00:00+00,4584,129,4455
2020/03/20 00:00:00+00,5193,194,4999
2020/03/21 00:00:00+00,4230,145,4085
2020/03/22 00:00:00+00,3406,127,3279
2020/03/23 00:00:00+00,4963,255,4708
2020/03/24 00:00:00+00,4037,214,3823
2020/03/25 00:00:00+00,4571,257,4314
2020/03/26 00:00:00+00,4261,231,4030
2020/03/27 00:00:00+00,4442,254,4188
2020/03/28 00:00:00+00,3944,264,3680
2020/03/29 00:00:00+00,3033,173,2860
2020/03/30 00:00:00+00,4364,310,4054
2020/03/31 00:00:00+00,3967,267,3700
2020/04/01 00:00:00+00,4457,314,4143
2020/04/02 00:00:00+00,4246,332,3914
2020/04/03 00:00:00+00,4378,340,4038
2020/04/04 00:00:00+00,3271,231,3040
2020/04/05 00:00:00+00,2632,202,2430
2020/04/06 00:00:00+00,3496,294,3202
2020/04/07 00:00:00+00,3478,262,3216
2020/04/08 00:00:00+00,3454,278,3176
2020/04/09 00:00:00+00,3283,251,3032
2020/04/10 00:00:00+00,2572,201,2371
2020/04/11 00:00:00+00,2337,167,2170
2020/04/12 00:00:00+00,1904,153,1751
2020/04/13 00:00:00+00,1789,129,1660
2020/04/14 00:00:00+00,2066,160,1906
2020/04/15 00:00:00+00,2224,162,2062
2020/04/16 00:00:00+00,2144,128,2016
2020/04/17 00:00:00+00,2186,127,2059
2020/04/18 00:00:00+00,1649,97,1552
2020/04/19 00:00:00+00,1292,98,1194
2020/04/20 00:00:00+00,1605,123,1482
2020/04/21 00:00:00+00,1510,100,1410
2020/04/22 00:00:00+00,1710,96,1614
2020/04/23 00:00:00+00,1576,100,1476
2020/04/24 00:00:00+00,1461,69,1392
2020/04/25 00:00:00+00,1131,61,1070
2020/04/26 00:00:00+00,792,35,757
2020/04/27 00:00:00+00,1168,66,1102
2020/04/28 00:00:00+00,1077,66,1011
2020/04/29 00:00:00+00,1089,60,1029
2020/04/30 00:00:00+00,1127,58,1069
2020/05/01 00:00:00+00,862,36,826
2020/05/02 00:00:00+00,683,23,660
2020/05/03 00:00:00+00,594,24,570
2020/05/04 00:00:00+00,828,43,785
2020/05/05 00:00:00+00,897,37,860
2020/05/06 00:00:00+00,917,27,890
2020/05/07 00:00:00+00,847,35,812
2020/05/08 00:00:00+00,801,34,767
2020/05/09 00:00:00+00,608,7,601
2020/05/10 00:00:00+00,445,25,420
2020/05/11 00:00:00+00,681,22,659
2020/05/12 00:00:00+00,637,16,621
2020/05/13 00:00:00+00,701,26,675
2020/05/14 00:00:00+00,625,15,610
2020/05/15 00:00:00+00,728,32,696
2020/05/16 00:00:00+00,504,23,481
2020/05/17 00:00:00+00,393,13,380
2020/05/18 00:00:00+00,627,12,615
2020/05/19 00:00:00+00,531,13,518
2020/05/20 00:00:00+00,705,31,674
2020/05/21 00:00:00+00,403,6,397
2020/05/22 00:00:00+00,441,12,429
2020/05/23 00:00:00+00,357,10,347
2020/05/24 00:00:00+00,295,7,288
2020/05/25 00:00:00+00,452,9,443
2020/05/26 00:00:00+00,567,14,553
2020/05/27 00:00:00+00,530,12,518
2020/05/28 00:00:00+00,436,8,428
2020/05/29 00:00:00+00,380,5,375
2020/05/30 00:00:00+00,345,4,341
2020/05/31 00:00:00+00,214,6,208
2020/06/01 00:00:00+00,240,7,233
2020/06/02 00:00:00+00,340,6,334
2020/06/03 00:00:00+00,466,6,460
2020/06/04 00:00:00+00,441,4,437
2020/06/05 00:00:00+00,382,6,376
2020/06/06 00:00:00+00,275,6,269
2020/06/07 00:00:00+00,184,5,179
2020/06/08 00:00:00+00,366,3,363
2020/06/09 00:00:00+00,404,5,399
2020/06/10 00:00:00+00,492,8,484
2020/06/11 00:00:00+00,300,2,298
2020/06/12 00:00:00+00,371,14,357
2020/06/13 00:00:00+00,346,3,343
2020/06/14 00:00:00+00,260,3,257
2020/06/15 00:00:00+00,400,4,396
2020/06/16 00:00:00+00,926,6,920
2020/06/17 00:00:00+00,717,6,711
2020/06/18 00:00:00+00,551,1,550
2020/06/19 00:00:00+00,751,5,746
2020/06/20 00:00:00+00,452,7,445
2020/06/21 00:00:00+00,346,4,342
2020/06/22 00:00:00+00,516,3,513
2020/06/23 00:00:00+00,508,7,501
2020/06/24 00:00:00+00,477,3,474
2020/06/25 00:00:00+00,486,6,480
2020/06/26 00:00:00+00,504,6,498
2020/06/27 00:00:00+00,331,1,330
2020/06/28 00:00:00+00,264,0,264
2020/06/29 00:00:00+00,454,4,450
2020/06/30 00:00:00+00,450,2,448
2020/07/01 00:00:00+00,440,6,434
2020/07/02 00:00:00+00,399,5,394
2020/07/03 00:00:00+00,407,4,403
2020/07/04 00:00:00+00,291,1,290
2020/07/05 00:00:00+00,239,4,235
2020/07/06 00:00:00+00,365,3,362
2020/07/07 00:00:00+00,383,6,377
2020/07/08 00:00:00+00,396,3,393
2020/07/09 00:00:00+00,383,4,379
2020/07/10 00:00:00+00,453,4,449
2020/07/11 00:00:00+00,348,2,346
2020/07/12 00:00:00+00,237,0,237
2020/07/13 00:00:00+00,465,4,461
2020/07/14 00:00:00+00,470,5,465
2020/07/15 00:00:00+00,573,5,568
2020/07/16 00:00:00+00,490,7,483
2020/07/17 00:00:00+00,528,4,524
2020/07/18 00:00:00+00,497,2,495
2020/07/19 00:00:00+00,391,8,383
2020/07/20 00:00:00+00,607,8,599
2020/07/21 00:00:00+00,600,4,596
2020/07/22 00:00:00+00,681,6,675
2020/07/23 00:00:00+00,634,3,631
2020/07/24 00:00:00+00,733,2,731
2020/07/25 00:00:00+00,587,3,584
2020/07/26 00:00:00+00,453,4,449
2020/07/27 00:00:00+00,688,7,681
2020/07/28 00:00:00+00,731,2,729
2020/07/29 00:00:00+00,774,5,769
2020/07/30 00:00:00+00,738,5,733
2020/07/31 00:00:00+00,870,12,858
2020/08/01 00:00:00+00,694,1,693
2020/08/02 00:00:00+00,555,3,552
2020/08/03 00:00:00+00,904,4,900
2020/08/04 00:00:00+00,940,4,936
2020/08/05 00:00:00+00,1009,1,1008
2020/08/06 00:00:00+00,1064,4,1060
2020/08/07 00:00:00+00,1046,5,1041
2020/08/08 00:00:00+00,835,4,831
2020/08/09 00:00:00+00,620,3,617
2020/08/10 00:00:00+00,1258,8,1250
2020/08/11 00:00:00+00,1224,4,1220
2020/08/12 00:00:00+00,1457,8,1449
2020/08/13 00:00:00+00,1405,5,1400
2020/08/14 00:00:00+00,1344,6,1338
2020/08/15 00:00:00+00,962,4,958
2020/08/16 00:00:00+00,796,1,795
2020/08/17 00:00:00+00,1557,6,1551
2020/08/18 00:00:00+00,1513,5,1508
2020/08/19 00:00:00+00,1556,5,1551
2020/08/20 00:00:00+00,1391,3,1388
2020/08/21 00:00:00+00,1496,1,1495
2020/08/22 00:00:00+00,1048,1,1047
2020/08/23 00:00:00+00,833,2,831
2020/08/24 00:00:00+00,1511,3,1508
2020/08/25 00:00:00+00,1529,4,1525
2020/08/26 00:00:00+00,1467,2,1465
2020/08/27 00:00:00+00,1414,4,1410
2020/08/28 00:00:00+00,1307,7,1300
2020/08/29 00:00:00+00,889,4,885
2020/08/30 00:00:00+00,769,1,768
2020/08/31 00:00:00+00,1264,5,1259
2020/09/01 00:00:00+00,1450,6,1444
2020/09/02 00:00:00+00,1356,8,1348
2020/09/03 00:00:00+00,1398,5,1393
2020/09/04 00:00:00+00,1513,10,1503
2020/09/05 00:00:00+00,1153,7,1146
2020/09/06 00:00:00+00,985,5,980
2020/09/07 00:00:00+00,1668,8,1660
2020/09/08 00:00:00+00,1635,13,1622
2020/09/09 00:00:00+00,1721,8,1713
2020/09/10 00:00:00+00,1662,8,1654
2020/09/11 00:00:00+00,1658,12,1646
2020/09/12 00:00:00+00,1428,11,1417
2020/09/13 00:00:00+00,1184,5,1179
2020/09/14 00:00:00+00,1939,9,1930
2020/09/15 00:00:00+00,2009,14,1995
2020/09/16 00:00:00+00,2071,13,2058
2020/09/17 00:00:00+00,1994,14,1980
2020/09/18 00:00:00+00,1963,15,1948
2020/09/19 00:00:00+00,1477,17,1460
2020/09/20 00:00:00+00,1197,18,1179
2020/09/21 00:00:00+00,2079,11,2068
2020/09/22 00:00:00+00,2034,20,2014
2020/09/23 00:00:00+00,2139,11,2128
2020/09/24 00:00:00+00,2160,20,2140
2020/09/25 00:00:00+00,2236,22,2214
2020/09/26 00:00:00+00,1877,18,1859
2020/09/27 00:00:00+00,1458,12,1446
2020/09/28 00:00:00+00,2464,20,2444
2020/09/29 00:00:00+00,2544,14,2530
2020/09/30 00:00:00+00,2705,20,2685
2020/10/01 00:00:00+00,2979,25,2954
2020/10/02 00:00:00+00,3303,35,3268
2020/10/03 00:00:00+00,2938,18,2920
2020/10/04 00:00:00+00,2292,18,2274
2020/10/05 00:00:00+00,3855,43,3812
2020/10/06 00:00:00+00,4128,25,4103
2020/10/07 00:00:00+00,4572,41,4531
2020/10/08 00:00:00+00,4807,46,4761
2020/10/09 00:00:00+00,5288,62,5226
2020/10/10 00:00:00+00,4661,48,4613
2020/10/11 00:00:00+00,3891,35,3856
2020/10/12 00:00:00+00,6187,59,6128
2020/10/13 00:00:00+00,6704,65,6639
2020/10/14 00:00:00+00,7841,62,7779
2020/10/15 00:00:00+00,8095,93,8002
2020/10/16 00:00:00+00,8925,93,8832
2020/10/17 00:00:00+00,7514,83,7431
2020/10/18 00:00:00+00,6901,80,6820
2020/10/19 00:00:00+00,10556,115,10441
2020/10/20 00:00:00+00,12136,145,11991
2020/10/21 00:00:00+00,14001,162,13839
2020/10/22 00:00:00+00,14210,230,13980
2020/10/23 00:00:00+00,15153,206,14947
2020/10/24 00:00:00+00,12813,153,12660
2020/10/25 00:00:00+00,11220,154,11066
2020/10/26 00:00:00+00,16199,232,15967
2020/10/27 00:00:00+00,17191,233,16958
2020/10/28 00:00:00+00,18650,259,18391
2020/10/29 00:00:00+00,17894,264,17630
2020/10/30 00:00:00+00,18501,261,18240
2020/10/31 00:00:00+00,14521,203,14318
2020/11/01 00:00:00+00,13457,224,13233
2020/11/02 00:00:00+00,19273,335,18937
2020/11/03 00:00:00+00,19109,289,18820
2020/11/04 00:00:00+00,19532,272,19260
2020/11/05 00:00:00+00,19212,295,18917
2020/11/06 00:00:00+00,19250,273,18977
2020/11/07 00:00:00+00,15801,218,15583
2020/11/08 00:00:00+00,12342,206,12136
2020/11/09 00:00:00+00,18721,364,18357
2020/11/10 00:00:00+00,19165,375,18790
2020/11/11 00:00:00+00,20413,399,20014
2020/11/12 00:00:00+00,20336,429,19907
2020/11/13 00:00:00+00,20313,446,19867
2020/11/14 00:00:00+00,15757,349,15408
2020/11/15 00:00:00+00,11952,281,11671
2020/11/16 00:00:00+00,18410,451,17959
2020/11/17 00:00:00+00,19345,479,18866
2020/11/18 00:00:00+00,20812,506,20306
2020/11/19 00:00:00+00,20578,521,20057
2020/11/20 00:00:00+00,20177,505,19672
2020/11/21 00:00:00+00,14503,341,14162
2020/11/22 00:00:00+00,11350,312,11038
2020/11/23 00:00:00+00,17743,494,17249
2020/11/24 00:00:00+00,18254,488,17766
2020/11/25 00:00:00+00,19779,569,19210
2020/11/26 00:00:00+00,19536,593,18943
2020/11/27 00:00:00+00,19129,603,18526
2020/11/28 00:00:00+00,15686,455,15231
2020/11/29 00:00:00+00,11631,358,11273
2020/11/30 00:00:00+00,17934,595,17339
2020/12/01 00:00:00+00,19774,673,19100
2020/12/02 00:00:00+00,21540,709,20831
2020/12/03 00:00:00+00,23205,805,22400
2020/12/04 00:00:00+00,22383,768,21614
2020/12/05 00:00:00+00,18199,547,17652
